time(s),x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s),q0,q1,q2,q3,roll(rad),pitch(rad),yaw(rad)
0.4400,0.0000,0.0000,12.1446,0.0000,0.0000,56.2321,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4500,0.0000,0.0000,12.7144,0.0000,0.0000,57.3653,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4600,0.0000,0.0000,13.2956,0.0000,0.0000,58.4817,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4700,0.0000,0.0000,13.8877,0.0000,0.0000,59.5813,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4800,0.0000,0.0000,14.4908,0.0000,0.0000,60.6642,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4900,0.0000,0.0000,15.1045,0.0000,0.0000,61.7301,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,15.7288,0.0000,0.0000,62.7791,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5100,0.0000,0.0000,16.3635,0.0000,0.0000,63.8112,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5200,0.0000,0.0000,17.0084,0.0000,0.0000,64.8263,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5300,0.0000,0.0000,17.6633,0.0000,0.0000,65.8243,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5400,0.0000,0.0000,18.3281,0.0000,0.0000,66.8054,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5500,0.0000,0.0000,19.0026,0.0000,0.0000,67.7693,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5600,0.0000,0.0000,19.6867,0.0000,0.0000,68.7161,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5700,0.0000,0.0000,20.3800,0.0000,0.0000,69.6459,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5800,0.0000,0.0000,21.0826,0.0000,0.0000,70.5585,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5900,0.0000,0.0000,21.7942,0.0000,0.0000,71.4540,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6000,0.0000,0.0000,22.5146,0.0000,0.0000,72.3323,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6100,0.0000,0.0000,23.2436,0.0000,0.0000,73.1935,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6200,0.0000,0.0000,23.9812,0.0000,0.0000,74.0375,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6300,0.0000,0.0000,24.7271,0.0000,0.0000,74.8643,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6400,0.0000,0.0000,25.4812,0.0000,0.0000,75.6740,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6500,0.0000,0.0000,26.2432,0.0000,0.0000,76.4666,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6600,0.0000,0.0000,27.0131,0.0000,0.0000,77.2420,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6700,0.0000,0.0000,27.7906,0.0000,0.0000,78.0003,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6800,0.0000,0.0000,28.5755,0.0000,0.0000,78.7414,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6900,0.0000,0.0000,29.3678,0.0000,0.0000,79.4655,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7000,0.0000,0.0000,30.1671,0.0000,0.0000,80.1724,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7100,0.0000,0.0000,30.9735,0.0000,0.0000,80.8623,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7200,0.0000,0.0000,31.7866,0.0000,0.0000,81.5352,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7300,0.0000,0.0000,32.6063,0.0000,0.0000,82.1910,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7400,0.0000,0.0000,33.4325,0.0000,0.0000,82.8298,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7500,0.0000,0.0000,34.2650,0.0000,0.0000,83.4517,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7600,0.0000,0.0000,35.1036,0.0000,0.0000,84.0566,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7700,0.0000,0.0000,35.9481,0.0000,0.0000,84.6446,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7800,0.0000,0.0000,36.7983,0.0000,0.0000,85.2158,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7900,0.0000,0.0000,37.6542,0.0000,0.0000,85.7701,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8000,0.0000,0.0000,38.5155,0.0000,0.0000,86.3076,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8100,0.0000,0.0000,39.3820,0.0000,0.0000,86.8139,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8200,0.0000,0.0000,40.2532,0.0000,0.0000,87.2745,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8300,0.0000,0.0000,41.1288,0.0000,0.0000,87.6898,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8400,0.0000,0.0000,42.0082,0.0000,0.0000,88.0597,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8500,0.0000,0.0000,42.8910,0.0000,0.0000,88.3845,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8600,0.0000,0.0000,43.7767,0.0000,0.0000,88.6642,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8700,0.0000,0.0000,44.6650,0.0000,0.0000,88.8992,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8800,0.0000,0.0000,45.5553,0.0000,0.0000,89.0894,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8900,0.0000,0.0000,46.4472,0.0000,0.0000,89.2351,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9000,0.0000,0.0000,47.3402,0.0000,0.0000,89.3365,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.0000,0.0000,48.2340,0.0000,0.0000,89.3936,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,0.0000,0.0000,49.1281,0.0000,0.0000,89.4068,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9300,0.0000,0.0000,50.0220,0.0000,0.0000,89.3760,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,50.9153,0.0000,0.0000,89.3016,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,51.8075,0.0000,0.0000,89.1835,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,52.6983,0.0000,0.0000,89.0221,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9700,0.0000,0.0000,53.5872,0.0000,0.0000,88.8175,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9800,0.0000,0.0000,54.4738,0.0000,0.0000,88.5698,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9900,0.0000,0.0000,55.3576,0.0000,0.0000,88.2791,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,56.2382,0.0000,0.0000,87.9457,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0100,0.0000,0.0000,57.1153,0.0000,0.0000,87.5919,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0200,0.0000,0.0000,57.9889,0.0000,0.0000,87.2403,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0300,0.0000,0.0000,58.8589,0.0000,0.0000,86.8907,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0400,0.0000,0.0000,59.7255,0.0000,0.0000,86.5431,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0500,0.0000,0.0000,60.5886,0.0000,0.0000,86.1976,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0600,0.0000,0.0000,61.4483,0.0000,0.0000,85.8540,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0700,0.0000,0.0000,62.3046,0.0000,0.0000,85.5124,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0800,0.0000,0.0000,63.1574,0.0000,0.0000,85.1728,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0900,0.0000,0.0000,64.0069,0.0000,0.0000,84.8351,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,64.8530,0.0000,0.0000,84.4993,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1100,0.0000,0.0000,65.6958,0.0000,0.0000,84.1655,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1200,0.0000,0.0000,66.5352,0.0000,0.0000,83.8335,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,0.0000,67.3714,0.0000,0.0000,83.5034,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,68.2042,0.0000,0.0000,83.1751,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,69.0338,0.0000,0.0000,82.8486,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,69.8601,0.0000,0.0000,82.5240,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.0000,0.0000,70.6832,0.0000,0.0000,82.2011,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,71.5031,0.0000,0.0000,81.8801,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,0.0000,0.0000,72.3197,0.0000,0.0000,81.5607,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,73.1332,0.0000,0.0000,81.2432,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2100,0.0000,0.0000,73.9435,0.0000,0.0000,80.9273,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,0.0000,74.7507,0.0000,0.0000,80.6132,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2300,0.0000,0.0000,75.5548,0.0000,0.0000,80.3007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,76.3557,0.0000,0.0000,79.9900,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2500,0.0000,0.0000,77.1535,0.0000,0.0000,79.6808,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2600,0.0000,0.0000,77.9483,0.0000,0.0000,79.3734,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2700,0.0000,0.0000,78.7400,0.0000,0.0000,79.0676,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2800,0.0000,0.0000,79.5286,0.0000,0.0000,78.7633,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2900,0.0000,0.0000,80.3143,0.0000,0.0000,78.4607,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3000,0.0000,0.0000,81.0969,0.0000,0.0000,78.1597,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3100,0.0000,0.0000,81.8765,0.0000,0.0000,77.8602,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3200,0.0000,0.0000,82.6531,0.0000,0.0000,77.5623,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3300,0.0000,0.0000,83.4267,0.0000,0.0000,77.2660,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3400,0.0000,0.0000,84.1974,0.0000,0.0000,76.9711,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3500,0.0000,0.0000,84.9652,0.0000,0.0000,76.6778,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3600,0.0000,0.0000,85.7300,0.0000,0.0000,76.3860,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3700,0.0000,0.0000,86.4919,0.0000,0.0000,76.0957,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3800,0.0000,0.0000,87.2509,0.0000,0.0000,75.8068,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3900,0.0000,0.0000,88.0071,0.0000,0.0000,75.5195,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4000,0.0000,0.0000,88.7604,0.0000,0.0000,75.2335,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4100,0.0000,0.0000,89.5108,0.0000,0.0000,74.9490,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4200,0.0000,0.0000,90.2584,0.0000,0.0000,74.6659,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4300,0.0000,0.0000,91.0032,0.0000,0.0000,74.3843,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4400,0.0000,0.0000,91.7452,0.0000,0.0000,74.1040,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4500,0.0000,0.0000,92.4844,0.0000,0.0000,73.8251,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4600,0.0000,0.0000,93.2208,0.0000,0.0000,73.5476,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4700,0.0000,0.0000,93.9544,0.0000,0.0000,73.2714,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4800,0.0000,0.0000,94.6853,0.0000,0.0000,72.9966,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4900,0.0000,0.0000,95.4134,0.0000,0.0000,72.7231,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5000,0.0000,0.0000,96.1388,0.0000,0.0000,72.4510,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5100,0.0000,0.0000,96.8615,0.0000,0.0000,72.1802,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5200,0.0000,0.0000,97.5815,0.0000,0.0000,71.9106,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5300,0.0000,0.0000,98.2989,0.0000,0.0000,71.6424,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5400,0.0000,0.0000,99.0135,0.0000,0.0000,71.3755,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5500,0.0000,0.0000,99.7255,0.0000,0.0000,71.1098,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5600,0.0000,0.0000,100.4348,0.0000,0.0000,70.8453,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
